repository,pr_number,pr_title,pr_url,pr_author,pr_date,high_severity,medium_severity,low_severity,total_issues
"frontend-app",281,"Feature/add user authentication flow","https://github.com/example-org/frontend-app/pull/281","alex-dev","2025-10-08T14:42:04Z",1,2,0,3
"api-service",1089,"Fix database connection pooling","https://github.com/example-org/api-service/pull/1089","sarah-coder","2025-10-08T13:43:18Z",2,1,0,3
"mobile-app",276,"Update push notification handling","https://github.com/example-org/mobile-app/pull/276","mike-mobile","2025-10-08T13:21:29Z",1,0,1,2
"infrastructure",55,"Deploy monitoring stack to production","https://github.com/example-org/infrastructure/pull/55","devops-john","2025-10-08T14:40:26Z",0,2,0,2
"frontend-app",419,"Implement dark mode toggle","https://github.com/example-org/frontend-app/pull/419","alex-dev","2025-10-15T13:18:45Z",0,1,1,2
"api-service",1333,"Add rate limiting middleware","https://github.com/example-org/api-service/pull/1333","sarah-coder","2025-10-15T13:13:32Z",1,1,0,2
"data-pipeline",174,"Fix ETL job scheduling","https://github.com/example-org/data-pipeline/pull/174","data-dave","2025-10-22T12:56:08Z",2,0,0,2
"frontend-app",279,"Update user profile component","https://github.com/example-org/frontend-app/pull/279","emma-ui","2025-10-22T14:51:12Z",0,2,1,3
"api-service",270,"Implement webhook endpoints","https://github.com/example-org/api-service/pull/270","sarah-coder","2025-10-29T12:29:27Z",1,0,0,1
"mobile-app",275,"Add biometric authentication","https://github.com/example-org/mobile-app/pull/275","mike-mobile","2025-10-29T12:03:52Z",2,1,0,3
"frontend-app",274,"Implement search functionality","https://github.com/example-org/frontend-app/pull/274","alex-dev","2025-11-05T11:49:51Z",1,2,0,3
"api-service",275,"Add caching layer for API responses","https://github.com/example-org/api-service/pull/275","sarah-coder","2025-11-05T14:13:05Z",0,2,0,2
"data-pipeline",52,"Implement data validation rules","https://github.com/example-org/data-pipeline/pull/52","data-dave","2025-11-12T10:24:26Z",1,1,1,3
"infrastructure",1747,"Update Kubernetes configurations","https://github.com/example-org/infrastructure/pull/1747","devops-john","2025-11-12T14:49:58Z",1,0,0,1
"frontend-app",273,"Fix responsive layout issues","https://github.com/example-org/frontend-app/pull/273","emma-ui","2025-11-19T12:13:47Z",0,3,0,3
"api-service",18,"Database migration for new schema","https://github.com/example-org/api-service/pull/18","sarah-coder","2025-11-19T07:04:52Z",2,1,0,3
"mobile-app",117,"Implement offline mode","https://github.com/example-org/mobile-app/pull/117","mike-mobile","2025-11-26T09:06:15Z",1,1,1,3
"backend-jobs",440,"Fix scheduled job failures","https://github.com/example-org/backend-jobs/pull/440","backend-bob","2025-11-26T15:21:31Z",2,0,0,2
"frontend-app",439,"Add analytics tracking","https://github.com/example-org/frontend-app/pull/439","alex-dev","2025-12-03T11:51:43Z",0,2,1,3
"api-service",257,"Implement GraphQL subscriptions","https://github.com/example-org/api-service/pull/257","sarah-coder","2025-12-03T14:53:58Z",1,2,0,3
"data-pipeline",139,"Fix data deduplication logic","https://github.com/example-org/data-pipeline/pull/139","data-dave","2025-12-10T08:45:44Z",1,1,0,2
"infrastructure",15,"Setup disaster recovery","https://github.com/example-org/infrastructure/pull/15","devops-john","2025-12-10T09:41:00Z",2,0,0,2
"frontend-app",19,"Implement SSR for improved SEO","https://github.com/example-org/frontend-app/pull/19","emma-ui","2025-12-17T09:34:02Z",0,1,1,2
"api-service",40,"Add request validation middleware","https://github.com/example-org/api-service/pull/40","sarah-coder","2025-12-17T09:27:36Z",1,2,0,3
"mobile-app",38,"Fix memory leak in image loading","https://github.com/example-org/mobile-app/pull/38","mike-mobile","2025-12-24T08:43:22Z",3,0,0,3
"backend-jobs",738,"Implement job retry mechanism","https://github.com/example-org/backend-jobs/pull/738","backend-bob","2025-12-24T22:34:16Z",1,1,0,2
"frontend-app",733,"Fix authentication state persistence","https://github.com/example-org/frontend-app/pull/733","alex-dev","2025-12-31T18:52:24Z",2,1,0,3
"api-service",732,"Add API versioning support","https://github.com/example-org/api-service/pull/732","sarah-coder","2025-12-31T17:36:07Z",0,2,1,3
"data-pipeline",730,"Implement incremental data sync","https://github.com/example-org/data-pipeline/pull/730","data-dave","2026-01-07T16:30:55Z",1,1,0,2
"infrastructure",189,"Update SSL certificates","https://github.com/example-org/infrastructure/pull/189","devops-john","2026-01-07T14:00:00Z",0,1,0,1
"frontend-app",750,"Add accessibility improvements","https://github.com/example-org/frontend-app/pull/750","emma-ui","2026-01-14T10:00:00Z",0,2,1,3
"api-service",780,"Implement rate limiting per user","https://github.com/example-org/api-service/pull/780","sarah-coder","2026-01-14T11:00:00Z",1,1,0,2
"mobile-app",200,"Fix crash on older devices","https://github.com/example-org/mobile-app/pull/200","mike-mobile","2026-01-14T12:00:00Z",2,0,0,2
